drug,location,dosage,quantity,pharmacy,price,special_offer,standard_coupon_price,special_coupon_price
N/A,60601,N/A,N/A,Walgreens,$41.72,Special offers,46.72,41.72
N/A,60601,N/A,N/A,Walmart,$33.73,No special offer,N/A,N/A
N/A,60601,N/A,N/A,Jewel-Osco,$28.21,Special offers,43.21,28.21
N/A,60601,N/A,N/A,CVS Pharmacy,$39.70,Special offers,44.05,39.70
N/A,60601,N/A,N/A,Meijer Pharmacy,$41.72,Special offers,46.19,41.72
N/A,60601,N/A,N/A,Target (CVS),$39.70,Special offers,44.05,39.70
N/A,60601,N/A,N/A,Costco,$58.90,No special offer,N/A,N/A
N/A,60601,N/A,N/A,Walmart Neighborhood Market,$33.73,No special offer,N/A,N/A
N/A,60601,N/A,N/A,Walgreens Specialty Pharmacy,$41.72,Special offers,46.72,41.72
N/A,60601,N/A,N/A,Mariano's,$32.10,No special offer,N/A,N/A
N/A,60601,N/A,N/A,Sams Club,$42.24,No special offer,N/A,N/A
N/A,60601,N/A,N/A,Aurora Pharmacy,$49.16,No special offer,N/A,N/A
N/A,60601,N/A,N/A,Capsule Pharmacy,$54.81,No special offer,N/A,N/A
Hydrochlorothiazide,10001,25mg,30 tablets,CVS Pharmacy,$19.22,Special offers,28.12,19.22
Hydrochlorothiazide,10001,25mg,30 tablets,Walgreens,$2.00,Special offers,4.48,2.00
Hydrochlorothiazide,10001,25mg,30 tablets,ShopRite,$2.88,Special offers,8.05,2.88
Hydrochlorothiazide,10001,25mg,30 tablets,Costco,$7.50,Special offers,10.00,7.50
Hydrochlorothiazide,10001,25mg,30 tablets,Target (CVS),$19.22,Special offers,28.12,19.22
Hydrochlorothiazide,10001,25mg,30 tablets,Duane Reade,$2.00,Special offers,4.48,2.00
