drug,location,dosage,quantity,pharmacy,price,special_offer,standard_coupon_price,special_coupon_price,online_pharmacy,city
Omeprazole,90001,40mg,30 capsules,Vons Pharmacy,7.0,special offers,10.37,7.0,False,Los Angeles
Omeprazole,90001,40mg,30 capsules,Walgreens,18.37,special offers,20.87,18.37,False,Los Angeles
Omeprazole,90001,40mg,30 capsules,Costco,13.66,special offers,18.66,13.66,False,Los Angeles
Omeprazole,90001,40mg,30 capsules,Albertsons (Sav-on),7.0,special offers,10.37,7.0,False,Los Angeles
Omeprazole,90001,40mg,30 capsules,Target (CVS),20.03,special offers,29.13,20.03,False,Los Angeles
Omeprazole,90001,40mg,30 capsules,Pavilions Pharmacy,7.0,special offers,10.37,7.0,False,Los Angeles
Omeprazole,90001,40mg,30 capsules,Ralphs,8.6,no special offer,,,False,Los Angeles
Omeprazole,90001,40mg,30 capsules,Walmart,2.0,special offers,15.17,2.0,False,Los Angeles
Omeprazole,90001,40mg,30 capsules,Walgreens Specialty Pharmacy,18.37,special offers,20.87,18.37,False,Los Angeles
Omeprazole,90001,40mg,30 capsules,Walmart Neighborhood Market,2.0,special offers,15.17,2.0,False,Los Angeles
Omeprazole,90001,40mg,30 capsules,Rite Aid,12.09,no special offer,,,False,Los Angeles
Omeprazole,90001,40mg,30 capsules,Capsule Pharmacy,23.09,no special offer,,,False,Los Angeles
Omeprazole,60601,40mg,30 capsules,Walgreens,18.37,special offers,20.87,18.37,False,Chicago
Omeprazole,60601,40mg,30 capsules,Jewel-Osco,7.0,special offers,10.37,7.0,False,Chicago
Omeprazole,60601,40mg,30 capsules,Meijer Pharmacy,10.07,no special offer,,,False,Chicago
Omeprazole,60601,40mg,30 capsules,CVS Pharmacy,20.03,special offers,29.13,20.03,False,Chicago
Omeprazole,60601,40mg,30 capsules,Costco,13.66,special offers,18.66,13.66,False,Chicago
Omeprazole,60601,40mg,30 capsules,Target (CVS),20.03,special offers,29.13,20.03,False,Chicago
Omeprazole,60601,40mg,30 capsules,Walmart,2.0,special offers,15.17,2.0,False,Chicago
Omeprazole,60601,40mg,30 capsules,Mariano's,8.6,no special offer,,,False,Chicago
Omeprazole,60601,40mg,30 capsules,Walgreens Specialty Pharmacy,18.37,special offers,20.87,18.37,False,Chicago
Omeprazole,60601,40mg,30 capsules,Aurora Pharmacy,8.82,no special offer,,,False,Chicago
Omeprazole,60601,40mg,30 capsules,Walmart Neighborhood Market,2.0,special offers,15.17,2.0,False,Chicago
Omeprazole,60601,40mg,30 capsules,Capsule Pharmacy,23.09,no special offer,,,False,Chicago
Simvastatin,10001,20mg,90 tablets,CVS Pharmacy,28.04,special offers,33.04,28.04,False,New York
Simvastatin,10001,20mg,90 tablets,Walgreens,33.6,special offers,36.1,33.6,False,New York
Simvastatin,10001,20mg,90 tablets,ShopRite,13.7,no special offer,,,False,New York
Simvastatin,10001,20mg,90 tablets,Target (CVS),28.04,special offers,33.04,28.04,False,New York
Simvastatin,10001,20mg,90 tablets,Duane Reade,33.6,special offers,36.1,33.6,False,New York
Simvastatin,10001,20mg,90 tablets,Costco,21.99,special offers,24.99,21.99,False,New York
Simvastatin,10001,20mg,90 tablets,Capsule Pharmacy,27.09,no special offer,,,False,New York
Simvastatin,10001,20mg,90 tablets,Acme Markets Pharmacy Pay online,3.05,special offers,13.05,3.05,True,New York
Simvastatin,10001,20mg,90 tablets,Walmart,24.0,no special offer,,,False,New York
Simvastatin,10001,20mg,90 tablets,Wegmans,13.38,special offers,18.88,13.38,False,New York
Simvastatin,10001,20mg,90 tablets,ACME Sav-On Pay online,3.05,special offers,13.05,3.05,True,New York
Simvastatin,10001,20mg,90 tablets,Walgreens Specialty Pharmacy,33.6,special offers,36.1,33.6,False,New York
Simvastatin,10001,20mg,90 tablets,Walmart Neighborhood Market,24.0,no special offer,,,False,New York
Simvastatin,10001,20mg,90 tablets,Rite Aid,19.3,special offers,23.55,19.3,False,New York
Simvastatin,10001,20mg,90 tablets,King Kullen,13.7,no special offer,,,False,New York
Simvastatin,90001,20mg,90 tablets,CVS Pharmacy,28.04,special offers,33.04,28.04,False,Los Angeles
Simvastatin,90001,20mg,90 tablets,Vons Pharmacy Pay online,3.05,special offers,13.05,3.05,True,Los Angeles
Simvastatin,90001,20mg,90 tablets,Target (CVS),28.04,special offers,33.04,28.04,False,Los Angeles
Simvastatin,90001,20mg,90 tablets,Albertsons (Sav-on) Pay online,3.05,special offers,13.05,3.05,True,Los Angeles
Simvastatin,90001,20mg,90 tablets,Walgreens,33.6,special offers,36.1,33.6,False,Los Angeles
Simvastatin,90001,20mg,90 tablets,Pavilions Pharmacy Pay online,3.05,special offers,13.05,3.05,True,Los Angeles
Simvastatin,90001,20mg,90 tablets,Ralphs,19.8,no special offer,,,False,Los Angeles
Simvastatin,90001,20mg,90 tablets,Costco,21.99,special offers,24.99,21.99,False,Los Angeles
Simvastatin,90001,20mg,90 tablets,Walmart,24.0,no special offer,,,False,Los Angeles
Simvastatin,90001,20mg,90 tablets,Walmart Neighborhood Market,24.0,no special offer,,,False,Los Angeles
Simvastatin,90001,20mg,90 tablets,Rite Aid,19.3,special offers,23.55,19.3,False,Los Angeles
Simvastatin,90001,20mg,90 tablets,Walgreens Specialty Pharmacy,33.6,special offers,36.1,33.6,False,Los Angeles
Simvastatin,90001,20mg,90 tablets,Capsule Pharmacy,27.09,no special offer,,,False,Los Angeles
Simvastatin,60601,20mg,90 tablets,Jewel-Osco,3.05,special offers,13.05,3.05,False,Chicago
Simvastatin,60601,20mg,90 tablets,Walgreens,33.6,special offers,36.1,33.6,False,Chicago
Simvastatin,60601,20mg,90 tablets,Meijer Pharmacy,11.3,special offers,14.79,11.3,False,Chicago
Simvastatin,60601,20mg,90 tablets,CVS Pharmacy,28.04,special offers,33.04,28.04,False,Chicago
Simvastatin,60601,20mg,90 tablets,Target (CVS),28.04,special offers,33.04,28.04,False,Chicago
Simvastatin,60601,20mg,90 tablets,Mariano's,19.8,no special offer,,,False,Chicago
Simvastatin,60601,20mg,90 tablets,Walmart,24.0,no special offer,,,False,Chicago
